Country,Capital,Longitude,Lattitude,Language,Official
Afghanistan,Kabul,69.17,34.53,Dari,TRUE
Afghanistan,Kabul,69.17,34.53,Pashto,TRUE
Albania,Tirana,19.82,41.33,Albanian,TRUE
Algeria,Algiers,3.4,36.75,Arabic,TRUE
Angola,Luanda,13.23,-8.84,Portuguese,TRUE
Anguilla,The-Valley,-63.6,18.22,English,TRUE
Antigua-and-Barbuda,St.-John's,-61.85,17.12,English,TRUE
Argentina,Buenos-Aires,-58.38,-34.61,Spanish,FALSE
Armenia,Yerevan,44.51,40.18,Armenian,TRUE
Aruba,Oranjestad,-70.3,12.52,Dutch,TRUE
Aruba,Oranjestad,-70.3,12.52,Papiamento,TRUE
Australia,Canberra,149.13,-35.28,English,FALSE
Austria,Vienna,16.37,48.21,German,TRUE
Azerbaijan,Baku,49.89,40.38,Azerbaijani,TRUE
Bahamas(The),Nassau,-77.34,25.6,English,TRUE
Bahrain,Manama,50.58,26.22,Arabic,TRUE
Bangladesh,Dhaka,90.41,23.71,Bengali,TRUE
Barbados,Bridgetown,-59.62,13.1,English,TRUE
Barbados,Bridgetown,-59.62,13.1,Bajan Creole,TRUE
Belarus,Minsk,27.57,53.9,Belarussian,TRUE
Belarus,Minsk,27.57,53.9,Russian,TRUE
Belgium,Brussels,4.35,50.85,Dutch,TRUE
Belgium,Brussels,4.35,50.85,German,TRUE
Belgium,Brussels,4.35,50.85,French,TRUE
Belize,Belmopan,-88.77,17.25,English,TRUE
Benin,Porto-Novo,2.6,6.5,French,TRUE
Bermuda,Hamilton,-64.78,32.29,English,TRUE
Bhutan,Thimphu,89.64,27.47,Dzongkha,TRUE
Bolivia,Sucre,-65.26,-19.3,Spanish,TRUE
Bosnia&Herzego,Sarajevo,18.36,43.85,Bosnian,FALSE
Bosnia&Herzego,Sarajevo,18.36,43.85,Croatian,FALSE
Bosnia&Herzego,Sarajevo,18.36,43.85,Serbian,FALSE
Botswana,Gaborone,25.91,-24.65,Setswana,TRUE
Botswana,Gaborone,25.91,-24.65,English,TRUE
Brazil,Brasilia,-47.93,-15.78,Portuguese,TRUE
British-Indian-Ocean-Territory,Diego-Garcia,7.24,72.46,English,TRUE
British-Virgin-Islands,Road-Town,-64.62,18.42,English,TRUE
Brunei,Bandar-Seri-Begawan,114.95,4.94,English,TRUE
Brunei,Bandar-Seri-Begawan,114.95,4.94,Malay,TRUE
Bulgaria,Sofia,23.32,42.7,Bulgarian,TRUE
Burkina-Faso,Ouagadougou,-1.53,12.37,French,TRUE
Burundi,Bujumbura,29.36,-3.38,French,TRUE
Burundi,Bujumbura,29.36,-3.38,Kirundi,TRUE
Burundi,Bujumbura,29.36,-3.38,English,TRUE
Cambodia,Phnom-Penh,104.92,11.56,Khmer,TRUE
Cameroon,Yaounde,11.52,3.87,English,TRUE
Cameroon,Yaounde,11.52,3.87,French,TRUE
Canada,Ottawa,-75.7,45.41,English,TRUE
Canada,Ottawa,-75.7,45.41,French,TRUE
Cape-Verde,Praia,-23.51,14.93,Portuguese,TRUE
Cayman-Islands,George-Town,-81.37,19.29,English,TRUE
Central-African-Re,Bangui,18.55,4.36,Sango,TRUE
